rank,model,exp,config,hierarchical_f1_mean,hierarchical_f1_std,accuracy_mean,accuracy_std,top_accuracy_mean,macro_accuracy_mean
191,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_conf1,80.02,0.6,81.31,0.56,89.94,75.93
192,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,80.02,1.24,81.55,0.51,90.06,75.8
193,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_conf1,80.01,0.68,81.44,0.44,89.64,76.08
194,clap_music_as_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_no_conf1,80.01,0.83,81.74,0.52,90.12,75.83
195,baseline,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,80.0,0.16,81.48,0.23,90.24,75.57
196,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_intersection_filter2_no_conf1,80.0,0.73,80.96,0.74,89.81,76.06
197,baseline,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,79.99,0.55,81.61,0.56,90.17,75.74
198,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_conf1,79.98,0.41,81.2,0.49,89.72,76.01
199,baseline,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_el2n_40_filter2_conf1,79.97,0.58,81.4,0.33,89.89,76.11
200,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_no_conf1,79.96,0.72,81.53,0.49,89.89,75.45
201,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_no_conf1,79.96,0.61,81.5,0.47,89.78,75.77
202,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_no_conf1,79.94,0.3,81.39,0.21,89.9,75.8
203,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,79.94,0.92,81.47,0.42,90.08,75.73
204,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_grand_40_filter2_conf1,79.92,0.27,80.89,0.33,89.67,76.19
205,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_grand_40_filter2_conf1,79.92,0.51,80.94,0.52,89.89,75.64
206,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,79.92,0.59,81.13,0.4,89.91,75.61
207,clap_music_as_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,79.92,0.42,81.63,0.25,90.35,75.18
208,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,79.91,0.34,81.37,0.22,89.93,75.89
209,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,79.91,0.65,81.3,0.46,89.69,75.81
210,passt_kd_ap486_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_conf1,79.91,1.01,81.81,0.42,89.95,75.88
211,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_no_conf1,79.9,0.61,81.41,0.2,89.79,75.79
212,baseline,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_no_conf1,79.89,0.74,81.51,0.61,90.12,75.83
213,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_grand_40_filter2_conf1,79.89,0.3,81.48,0.19,89.96,75.82
214,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,79.89,0.79,80.99,0.79,89.53,76.27
215,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_no_conf1,79.89,0.38,81.17,0.2,89.73,76.0
216,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_el2n_40_filter2_conf1,79.88,0.28,81.13,0.23,89.75,76.02
217,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_conf1,79.88,0.72,81.07,0.68,89.64,76.05
218,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_no_conf1,79.88,0.47,81.31,0.54,89.78,75.83
